Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Date_Time,Random_Number
547,Gerson Rodrigues,Dynamo Kyiv,0,2,1,50.0,1.01,0.51,0.0,0.0,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-04-08 08:11:08,30
548,Pedro Rodrigues,Olympiacos ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-10-29 12:29:06,62
549,Óscar Rodríguez Arnaiz,Sevilla ,0,3,1,33.3,1.48,0.49,0.0,0.0,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2020-04-27 21:32:55,93
550,Rodrygo,Real Madrid,1,4,1,25.0,1.38,0.34,0.25,1.0,14.0,0,0,0,0.3,0.3,0.07,0.7,0.7,2020-08-21 07:07:48,5
551,Cristian Romero,Atalanta ,1,4,2,50.0,0.81,0.4,0.25,0.5,8.5,0,0,0,0.3,0.3,0.08,0.7,0.7,2020-07-06 13:36:21,11
552,Cristiano Ronaldo,Juventus ,4,15,6,40.0,3.76,1.5,0.13,0.33,19.8,2,2,2,4.0,2.5,0.16,0.0,-0.5,2020-08-15 15:32:48,80
553,Valentin Rongier,Marseille ,0,6,0,0.0,1.22,0.0,0.0,,23.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,2020-09-17 00:21:05,53
554,Marten de Roon,Atalanta ,0,1,0,0.0,0.31,0.0,0.0,,17.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,2020-05-30 22:03:23,79
555,Antonio Rüdiger,Chelsea ,0,1,0,0.0,0.31,0.0,0.0,,6.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,2020-10-02 00:42:14,56
556,Daniele Rugani,Rennes ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-03 13:00:52,12
557,Matteo Ruggeri,Atalanta ,0,1,0,0.0,6.0,0.0,0.0,,9.5,0,0,0,0.0,0.0,0.05,0.0,0.0,2020-04-29 16:13:37,19
558,Georginio Rutter,Rennes ,1,3,1,33.3,12.86,4.29,0.0,0.0,13.4,0,1,1,1.5,0.8,0.26,-0.5,-0.8,2020-05-06 07:25:46,82
559,Dmitrii Rybchinskii,Loko Moscow,0,2,1,50.0,1.15,0.58,0.0,0.0,18.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2020-01-10 19:25:37,42
560,Maciej Rybus,Loko Moscow,0,2,1,50.0,0.33,0.17,0.0,0.0,22.8,1,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-03-19 05:34:58,61
561,José Sá,Olympiacos ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-11 20:13:36,71
562,Marcel Sabitzer,RB Leipzig,0,10,0,0.0,2.33,0.0,0.0,,24.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,2020-03-22 05:08:50,97
563,Leon Sabua,Krasnodar ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-08-01 16:38:16,90
564,Matvei Safonov,Krasnodar ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-23 09:41:40,34
565,Hiroki Sakai,Marseille ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-01-12 02:30:35,85
